Question,Answer
What is Khelo Gram?,Khelo gram is an application that helps user to find tournaments and participate also give club and organizers to create tournaments.
What does Khelo Gram mean?,The Khelo gram idea mainly comes to help players find tournaments in local or village(gram) site areas.
What is the purpose of Khelo Gram?,The purpose of Khelo gram is to help individual player or team to find tournaments and to contact with organizer and participate also help club and organizers to create tournaments.
Who is Khelo Gram for?,Khelo gram is for every individuals who loves to play physical games and win prizes. And clubs who want to get more participants in their tournaments.
Is Khelo Gram a government initiative?,"No, Khelo gram is not a government initiative. It is totally created by our own idea and our own team hardwork"
What problem does this solve?,It helps inidividual and team to find nearest and also others tournament to participate and win. Also help organizers or club to get teams fast.
Who is this product for?,"This product is for every players who loves to play in physical tournaments like - Cricket, Football, Vollyball etc."
Is this a website or a mobile app?,We are in a developing phase currently it is now an website based application but our main focus is to build mobile application.
What makes this project different?,We are different because for our simple attractive UI also the features we provide and mainly direct contact and easy application that village players want.
How does this chatbot work?,"I will help you with your query, and try to give best answers."
What features do you provide?,As a chatbot I will help you to understand about your query and give you better responses.
What technologies are used?,"There are so many technology used to build this Khelo gram. Main cores are Frontend, Backend and AIML technologies."
Is AI or ML used in this project?,"Yes, this is an AI based application and also we are trying to build more AI features to help you."
Can this integrate with other platforms?,"No, This is an individual platform but it may be integrate if our development teams want."
How do I get started?,"Click on the get started button above on this Landing Page, then choose are you a Team or Club/Organizer. Then fill yourself and get your home page and profile."
How does the system work step by step?,"First you have to signup and signin as a team or Club/Organizer then you will get your home page and profile page(different for team and club). In home page you can find tournaments also inside tournaments, you will get every details. For Club you can post tournaments from create button."
Do I need to create an account?,"Yes, You have to create an account to know tournaments and post tournaments as an organizer."
How long does setup take?,It takes couple of seconds to create your profile.
Is it beginner-friendly?,"Yes absolutely it is a beginner-friendly application, A little boy can also use this."
Is this free?,It is absolutely free-of-cost. We don't take any charges from user.
Are there paid plans?,"No, For now there is no paid plans in our application. It is fully free of cost."
Is there a trial version?,"You can directly use it, there is no charge to use it. It is fully free site."
What are the limitations of the free plan?,No plans are include to use this application. It is Free site.
Is this cloud-based?,For now I can not give your answer but you can assure that your data is fully protected.
Does it support API integration?,"Sorry, this question is not relevant to me you can ask to our team in contact section."
Can I deploy it locally?,"We are in developing phase, and it is not possible now to deploy it locally. But later you can download from playstore and use it."
Is the source code available on GitHub?,"Yes, you can get github profile go to about section and clikc github icon to directed our github page."
Is my data secure?,"You can relax, Your data will be fuly secured if you signup/login."
Do you store user data?,We store user data to give better performance but user data is totally secured in our backend system.
Is this GDPR compliant?,"Yes, we respect user privacy and only collect necessary data, protect those properly and also give user control. "
How is user privacy handled?,User privacy is fully secured no worries about that.
How can I contact the team?,"You can contact with our teams from the below of the Landing page (About Section-> Teams, Contacts.)"
Is there customer support?,"Yes, 24/7 Customer support is available for Khelo gram users from application prospectives."
Where can I report a bug?,"If you getting any issue you can directly contact to our teams, teams in formations are in about section of Landing page."
Do you have documentation?,"Sorry, For now I do not have the answer for your question you can contact with supports to get clarification."
Is this project live?,"Yes, It is absolutely live but as we are in a developing phase mobile application till not available for users."
Is it under development?,Yes we are in developing phase and try our best to complete.
Who built this project?,"This is build by our wonderful team members mainly by Deep, Aninda, Prakash but other information you can get from about section."
Is this an academic or commercial project?,"No this is not an academic project, but now it is free of cost to users."
Are there future updates planned?,"Yes, every time we update our builtin features also adding so many things in simple way to give users better performance."
How can I try it?,You can directly try it from get started button and fully free-of-cost.
Where can I sign up?,"Click Get started button top of the page then choose what type profile you want Team or Organizer/Club, then Fill the form and Login to your Page."
Can I see a demo?,Yes you can see demo from our Landing page click the demo button given.
How do I contribute?,You can contribute by giving us ratings also saying your friends and others to use this application and by posting about our Khelo gram in social media sites with hashtags(#).
Where is the GitHub repository?,You can find our Github link at the bottom of the Landing Page.
Hi / Hello / Hii,"Hello, My name is PlayCo. How can I help you?"
What can you do?,I can help you to solve you queries with relevant answers.
Are you a real person?,"No, I am an virtual assistant. I can help you to solve your queries."
Who created you?,I built with by Khelo gram team to help users.
What is the project?,"In short, this is a site that helps teams/players to get various tournaments and Club/Organizers to create tournaments and get team for their tournaments."
Key features,"Key features for our sites, Like - AIML integration, user can get variour tournament information from home and own system. Tournaments details , nearby tournaments, Different profile, Secure backend, ranking and many more."
How it works,"It works in very simple way, Organier create tournaments Team/Player see and if they want the can directly contact with Club."
What services does Khelo Gram provide?,Khelo gram gives users self control site to create or participate tournaments.
What features are available?,"Features like users can register themself securely, can participate in turnaments and club/Organizers can create tournaments also."
Can I register as a player?,For now Khelo gram is only support Team and Organizer/Club but as we are in developing phase we adding this to help every individual players.
Can coaches or academies join?,"No, there are no coaches or academies in this but there are clubs to contact and participate in their tournaments."
Does it support multiple sports?,"Yes, Khelo gram supports multiple sports like- Cricket, Football, Vollyball etc but for now it does not support e-sports."
What is Player registration?,Player registration is a basic form to provide authentication and user data security and better performance.
How to get Local tournament updates?,You can get newest tournament from your home page and also you can search club names from search tab if your club/Organizer registered in this application you can find them.
